rank,event_id,risk_score,risk_level,priority,status,reasons,input_ioc_status,input_asset_criticality_label,input_asset_criticality_verified
4510,EVT04899,43.88,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4511,EVT03560,43.87,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4512,EVT06317,43.87,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4513,EVT07217,43.87,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4514,EVT05589,43.86,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4515,EVT05711,43.86,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4516,EVT05786,43.86,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4517,EVT09031,43.86,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4518,EVT03159,43.85,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4519,EVT08870,43.85,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4520,EVT00855,43.84,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4521,EVT00899,43.84,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4522,EVT04079,43.84,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4523,EVT01259,43.83,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4524,EVT01471,43.83,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4525,EVT02169,43.83,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4526,EVT03656,43.83,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4527,EVT03859,43.83,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4528,EVT06404,43.83,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4529,EVT06824,43.83,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4530,EVT02083,43.82,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4531,EVT05625,43.82,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4532,EVT09163,43.82,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4533,EVT04906,43.81,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4534,EVT08177,43.81,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4535,EVT08854,43.81,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4536,EVT00644,43.8,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4537,EVT01090,43.8,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4538,EVT07400,43.8,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4539,EVT08119,43.8,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4540,EVT04180,43.79,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4541,EVT05030,43.79,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4542,EVT02177,43.78,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4543,EVT00601,43.77,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4544,EVT01673,43.77,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4545,EVT04152,43.77,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4546,EVT05517,43.77,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4547,EVT05890,43.77,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4548,EVT06200,43.77,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4549,EVT09032,43.77,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4550,EVT08973,43.75,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4551,EVT00076,43.74,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4552,EVT05918,43.74,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4553,EVT02944,43.73,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4554,EVT03826,43.73,Moderate,Review When Possible,Open,[],No IOC Match,High,True
4555,EVT06587,43.73,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4556,EVT01497,43.72,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4557,EVT03765,43.72,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4558,EVT06624,43.72,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4559,EVT07758,43.72,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4560,EVT08393,43.72,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4561,EVT09050,43.72,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4562,EVT00652,43.7,Moderate,Review When Possible,Open,[],No IOC Match,Low,True
4563,EVT01217,43.7,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4564,EVT02748,43.7,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4565,EVT04866,43.7,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4566,EVT05067,43.7,Moderate,Review When Possible,Open,[],No IOC Match,Low,True
4567,EVT06642,43.7,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4568,EVT00630,43.69,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4569,EVT04318,43.69,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4570,EVT08940,43.69,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4571,EVT01097,43.68,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4572,EVT02131,43.67,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4573,EVT07956,43.67,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4574,EVT04946,43.66,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4575,EVT01104,43.65,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4576,EVT03546,43.65,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4577,EVT04606,43.65,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4578,EVT04808,43.65,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4579,EVT00405,43.64,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4580,EVT05229,43.63,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4581,EVT01981,43.62,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4582,EVT02957,43.62,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4583,EVT06926,43.62,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4584,EVT07668,43.62,Moderate,Review When Possible,Open,[],No IOC Match,Low,True
4585,EVT07695,43.62,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4586,EVT00310,43.61,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4587,EVT00732,43.61,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4588,EVT07392,43.61,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4589,EVT01517,43.59,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4590,EVT08694,43.59,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4591,EVT03817,43.58,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4592,EVT07967,43.57,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4593,EVT09875,43.57,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4594,EVT00755,43.56,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4595,EVT05302,43.56,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4596,EVT06989,43.56,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4597,EVT09752,43.56,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4598,EVT01949,43.55,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4599,EVT06494,43.55,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4600,EVT07019,43.55,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4601,EVT09557,43.55,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4602,EVT02416,43.53,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4603,EVT04434,43.53,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4604,EVT00063,43.52,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4605,EVT00840,43.52,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4606,EVT02510,43.52,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4607,EVT04947,43.52,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4608,EVT00715,43.51,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4609,EVT02377,43.51,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4610,EVT02614,43.51,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4611,EVT02878,43.51,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4612,EVT06209,43.51,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4613,EVT06245,43.51,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4614,EVT02059,43.5,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4615,EVT02848,43.5,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4616,EVT04398,43.5,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4617,EVT06867,43.5,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4618,EVT08434,43.5,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4619,EVT09512,43.5,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4620,EVT09663,43.5,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4621,EVT00114,43.49,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4622,EVT02664,43.49,Moderate,Review When Possible,Open,['Critical asset'],No IOC Match,Critical,True
4623,EVT02026,43.48,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4624,EVT02300,43.48,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4625,EVT05059,43.48,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4626,EVT06302,43.48,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4627,EVT08703,43.47,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4628,EVT01572,43.46,Moderate,Review When Possible,Open,[],No IOC Match,Medium,True
4629,EVT05499,43.46,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4630,EVT03271,43.45,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4631,EVT06654,43.45,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4632,EVT08106,43.45,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4633,EVT02262,43.44,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4634,EVT00059,43.43,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4635,EVT01134,43.43,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4636,EVT01322,43.43,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4637,EVT06599,43.43,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4638,EVT07231,43.43,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4639,EVT09659,43.43,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4640,EVT01577,43.42,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4641,EVT01599,43.42,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4642,EVT02282,43.42,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4643,EVT02762,43.42,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4644,EVT02881,43.42,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4645,EVT05013,43.42,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4646,EVT07305,43.42,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4647,EVT01936,43.41,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4648,EVT02953,43.41,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4649,EVT05034,43.41,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4650,EVT09675,43.41,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4651,EVT03759,43.4,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4652,EVT03868,43.4,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4653,EVT03153,43.39,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Medium,True
4654,EVT03276,43.39,Moderate,Review When Possible,Open,[],No IOC Match,Medium,True
4655,EVT00550,43.38,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4656,EVT02917,43.38,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4657,EVT06617,43.38,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4658,EVT00049,43.37,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4659,EVT04940,43.37,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Medium,True
4660,EVT05202,43.37,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4661,EVT06272,43.35,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4662,EVT08659,43.35,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4663,EVT02104,43.34,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4664,EVT04500,43.34,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4665,EVT04579,43.34,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4666,EVT01224,43.33,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4667,EVT02518,43.33,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4668,EVT03091,43.33,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4669,EVT07193,43.32,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,High,True
4670,EVT07635,43.32,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4671,EVT01046,43.31,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4672,EVT09443,43.31,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4673,EVT00365,43.3,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4674,EVT03526,43.3,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4675,EVT05327,43.3,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4676,EVT00130,43.29,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4677,EVT03029,43.29,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4678,EVT01004,43.28,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4679,EVT02941,43.28,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4680,EVT03041,43.28,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4681,EVT08744,43.28,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4682,EVT09523,43.28,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4683,EVT00349,43.27,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4684,EVT02335,43.27,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4685,EVT03838,43.27,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4686,EVT05740,43.27,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4687,EVT05847,43.27,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4688,EVT05921,43.27,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Low,True
4689,EVT05171,43.25,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4690,EVT08408,43.25,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4691,EVT08818,43.25,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4692,EVT00014,43.24,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4693,EVT02027,43.24,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4694,EVT06121,43.24,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4695,EVT06699,43.24,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4696,EVT00028,43.23,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4697,EVT04081,43.23,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4698,EVT04100,43.23,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4699,EVT00643,43.22,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4700,EVT01257,43.22,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4701,EVT04539,43.22,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4702,EVT04937,43.22,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4703,EVT07136,43.22,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4704,EVT00824,43.21,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4705,EVT02326,43.21,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4706,EVT06646,43.21,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4707,EVT07569,43.21,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4708,EVT01397,43.2,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4709,EVT01802,43.2,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4710,EVT06334,43.2,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4711,EVT08039,43.2,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4712,EVT06273,43.19,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4713,EVT09689,43.19,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4714,EVT02029,43.18,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4715,EVT02619,43.18,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4716,EVT06372,43.18,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4717,EVT03804,43.17,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4718,EVT03894,43.17,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4719,EVT03926,43.17,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4720,EVT06101,43.17,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4721,EVT07683,43.17,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4722,EVT02735,43.16,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4723,EVT02792,43.16,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4724,EVT04179,43.16,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4725,EVT08476,43.16,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4726,EVT09199,43.16,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4727,EVT03750,43.15,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4728,EVT04819,43.15,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4729,EVT06584,43.15,Moderate,Review When Possible,Open,[],No IOC Match,Low,True
4730,EVT08246,43.15,Moderate,Review When Possible,Open,[],No IOC Match,High,True
4731,EVT01591,43.14,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4732,EVT03934,43.14,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4733,EVT09496,43.13,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4734,EVT03612,43.12,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4735,EVT07662,43.12,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4736,EVT09152,43.12,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4737,EVT02948,43.11,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4738,EVT05947,43.11,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4739,EVT04171,43.1,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4740,EVT05473,43.09,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4741,EVT00081,43.08,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4742,EVT01528,43.08,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4743,EVT04454,43.08,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4744,EVT07658,43.08,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4745,EVT07727,43.08,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4746,EVT02779,43.07,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4747,EVT04555,43.07,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4748,EVT05810,43.07,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4749,EVT02077,43.06,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4750,EVT04438,43.06,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4751,EVT07441,43.06,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4752,EVT08292,43.06,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4753,EVT08896,43.06,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4754,EVT00013,43.05,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4755,EVT00104,43.04,Moderate,Review When Possible,Open,[],No IOC Match,Medium,True
4756,EVT00575,43.04,Moderate,Review When Possible,Open,[],No IOC Match,Medium,True
4757,EVT06627,43.04,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4758,EVT02126,43.03,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4759,EVT04687,43.03,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4760,EVT08472,43.03,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4761,EVT01568,43.02,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4762,EVT02449,43.02,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4763,EVT04533,43.02,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4764,EVT04891,43.02,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4765,EVT00445,43.01,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4766,EVT01704,43.01,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4767,EVT01626,43.0,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4768,EVT01653,43.0,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4769,EVT05026,43.0,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4770,EVT05631,43.0,Moderate,Review When Possible,Open,['Critical asset'],No IOC Match,Critical,True
4771,EVT04484,42.99,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4772,EVT01173,42.98,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4773,EVT02503,42.98,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4774,EVT02806,42.98,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4775,EVT03771,42.97,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4776,EVT05351,42.97,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4777,EVT08239,42.97,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4778,EVT08339,42.97,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4779,EVT01048,42.96,Moderate,Review When Possible,Open,[],No IOC Match,High,True
4780,EVT02427,42.96,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4781,EVT07519,42.96,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4782,EVT08827,42.96,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4783,EVT04929,42.95,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4784,EVT08383,42.95,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4785,EVT02266,42.94,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4786,EVT04190,42.94,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4787,EVT05552,42.94,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4788,EVT09029,42.93,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
4789,EVT04699,42.92,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4790,EVT06786,42.92,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4791,EVT05742,42.91,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4792,EVT05862,42.91,Moderate,Review When Possible,Open,[],No IOC Match,High,True
4793,EVT00726,42.9,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4794,EVT01610,42.9,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4795,EVT03967,42.9,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4796,EVT04415,42.9,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4797,EVT09369,42.9,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4798,EVT04098,42.89,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4799,EVT05832,42.89,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4800,EVT09579,42.89,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4801,EVT08619,42.88,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4802,EVT00441,42.87,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4803,EVT07010,42.87,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
4804,EVT01681,42.86,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
4805,EVT02418,42.86,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
